jid,formula,max_voltage,voltages
JVASP-71021,BeZn2Fe,-3.654350371522522,[-3.654350371522522, -4.103005261582947]
JVASP-74849,Be2ZnP,-3.089580984277344,[-3.089580984277344]
JVASP-70985,BeZnHg4,-4.4690215303131104,[-4.4690215303131104]
JVASP-74755,Be2ZnBr,-3.241465838117218,[-3.241465838117218]
JVASP-71502,BeTlZn,-3.8000969602294923,[-3.8000969602294923]
JVASP-74277,Be2ZnHg,-3.772949667138672,[-3.772949667138672]
JVASP-74485,SrBe2Zn,-3.8677694513031007,[-3.8677694513031007]
JVASP-74756,BeZnIr,-3.32089468972168,[-3.32089468972168]
JVASP-43091,KLiZnS2,-0.2674758149810792,[-0.2674758149810792]
JVASP-74321,Be2ZnFe,-3.6964485360809327,[-3.6964485360809327]
JVASP-92320,CaZn3,-2.9601220800109864,[-3.6526691629119874, -3.687556476754761, -3.6689686490722657, -2.9601220800109864, -3.92838284508667, -4.572183103723145]
JVASP-75005,BeZnBi2,-4.6035271598526,[-4.6035271598526]
JVASP-74367,Hf2BeZn,-2.224405260247803,[-2.224405260247803]
JVASP-74322,Be2VZn,-3.3532309247680665,[-3.3532309247680665]
JVASP-74528,BeZnP4,-4.215994806451416,[-4.215994806451416]
JVASP-74631,Be2TlZn,-4.375189752740479,[-4.375189752740479]
JVASP-74718,Be2ZnCo,-3.6190294934936524,[-3.6190294934936524]
JVASP-74908,Be2ZnCr,-3.6934315873809815,[-3.6934315873809815]
JVASP-94774,CaMg6Zn,-3.70585128800354,[-3.70585128800354]
JVASP-74192,BeZnCd2,-4.344346971673584,[-4.344346971673584]
JVASP-93924,CaZn,-3.07657095925293,[-3.3182339383789063, -3.07657095925293, -3.096938343209839]
JVASP-105985,SrZnSi,-2.6007860614486695,[-2.6007860614486695]
JVASP-74241,BeZnSe2,-4.1867575360961915,[-4.1867575360961915]
JVASP-71806,BeZnPt2,-3.180002660913086,[-3.180002660913086]
JVASP-93218,CaZn,-3.6737109138198853,[-3.80114576355896, -3.888599605722046, -3.6737109138198853]
JVASP-74769,La2BeZn,-3.0433902455993653,[-3.0433902455993653]
